item,cluster,cluster_name,mean_units,cv_units,avg_price,trend_slope_norm,seasonality_strength
ACCESORIES_1_001,2,Baja rotación volátil,2.139571353894407,1.2476973186775715,11.032754939106901,0.0016301099385510052,0.18498249500920141
ACCESORIES_1_002,3,Nicho premium,2.6445373758494513,0.8857272349795698,5.275707883971737,0.00013773348881488076,0.3772844569793341
ACCESORIES_1_003,2,Baja rotación volátil,0.7501306847882906,1.9089445524200919,3.9441249779346865,0.00207529607538757,0.3108860551830918
ACCESORIES_1_004,1,Básicos de alto volumen,20.478306325143752,0.40139194551688123,5.983299060693641,5.822315688268503e-05,0.04485756680469431
ACCESORIES_1_005,1,Básicos de alto volumen,7.642969158389963,0.6538342498299476,3.832119391634981,0.00011166350101723018,0.21246145278719827
ACCESORIES_1_006,1,Básicos de alto volumen,6.83115525352849,0.8538345882690305,1.334331651376147,0.0004323983553722741,0.050164306626329015
ACCESORIES_1_007,3,Nicho premium,1.5755358076319916,1.0558699017479285,10.480751780264496,0.0011068979765009649,0.1567432578750751
ACCESORIES_1_008,1,Básicos de alto volumen,45.815473078933614,0.5946704673792556,0.6328636130450714,-3.090992173543823e-05,0.09485284335776639
ACCESORIES_1_009,1,Básicos de alto volumen,8.184526921066388,0.6668905495728139,2.2907282471157426,-0.0002113140841222527,0.05208905525137647
ACCESORIES_1_010,1,Básicos de alto volumen,6.110297961317302,0.49364524807811144,3.9563924731182794,-0.00020909527891004335,0.08033466568342734
ACCESORIES_1_011,2,Baja rotación volátil,0.7841087297438578,1.3803460127193723,4.6284,0.0007106849770246106,0.09413912086379216
ACCESORIES_1_012,3,Nicho premium,3.8295870360690016,0.7136331039832359,8.606006059519542,-0.0006996533898069817,0.07157739081762257
ACCESORIES_1_013,2,Baja rotación volátil,2.2927339257710404,0.9877564428917136,2.6201000000000003,0.000817194076290335,0.1224680375395709
ACCESORIES_1_014,1,Básicos de alto volumen,19.480920020909565,0.7031486051750021,1.3343381502890173,0.0009242655243898996,0.06873699549315979
ACCESORIES_1_015,1,Básicos de alto volumen,44.19289074751699,0.5122417627369452,0.9416991747398638,-0.0001427121049953825,0.08158829808215026
ACCESORIES_1_016,1,Básicos de alto volumen,31.269733403031886,0.5235630507622308,0.9437299309843807,-0.00011560951839952826,0.04393095916028398
ACCESORIES_1_017,1,Básicos de alto volumen,7.621536853110298,0.649968740016077,2.5884464146531565,0.00015766663429872738,0.06985670246852387
ACCESORIES_1_018,3,Nicho premium,0.6685833768949294,1.577139266927646,15.719025318761387,0.001188902041311963,0.25722682752096393
ACCESORIES_1_019,1,Básicos de alto volumen,27.750653423941454,0.8818022116252748,0.6271774440196615,0.0009759250201747801,0.06840077517364128
ACCESORIES_1_020,3,Nicho premium,2.34343962362781,0.7399664768611381,16.202583821376283,-6.964981781432768e-05,0.03885338330337025
ACCESORIES_1_021,3,Nicho premium,3.521170935703084,0.8565665235109887,15.709523210332106,0.0002738787500980218,0.29694996626639564
ACCESORIES_1_022,3,Nicho premium,3.845791949817041,0.6509719364173081,9.496576594982079,-0.0003475111420687777,0.13141253438357875
ACCESORIES_1_023,1,Básicos de alto volumen,10.876633559853634,0.6530225468228168,4.5704806451612905,-0.00059258838324644,0.25104914218911806
ACCESORIES_1_024,3,Nicho premium,1.9874542603240983,1.1393414451724035,11.806242110453649,0.000857357515231694,0.0879590344780532
ACCESORIES_1_025,1,Básicos de alto volumen,4.237323575535807,0.7806348121732796,5.175192699029127,-9.790989539180999e-05,0.05915400044205498
ACCESORIES_1_026,3,Nicho premium,1.789858860428646,1.230172372687755,23.855662352941174,0.001501993777540404,0.12098827418765258
ACCESORIES_1_027,3,Nicho premium,1.0627286983795086,1.7245856814326552,26.5594252794497,0.0018125223240851446,0.12160738153868934
ACCESORIES_1_028,3,Nicho premium,4.271301620491375,0.5648682850101776,10.21162559139785,-0.0003457006847209001,0.016697820030559935
ACCESORIES_1_029,3,Nicho premium,9.491374803972818,0.4595524077944354,11.228648503425893,3.224589849663619e-05,0.052373580505179804
ACCESORIES_1_030,1,Básicos de alto volumen,15.501829587036069,0.9542879538328431,0.9527470229007634,0.0011141518109837303,0.08385574455052357
ACCESORIES_1_031,3,Nicho premium,3.1871406168322007,0.659877150401607,14.602116289917475,-0.0002968657843899296,0.07495270106729074
ACCESORIES_1_032,1,Básicos de alto volumen,33.17982226868792,0.7195315661962955,0.7441087813620072,-0.000281889014086541,0.16486033100170905
ACCESORIES_1_033,3,Nicho premium,1.312598013591218,1.4097681211351418,21.370023059532784,0.0014965604234170112,0.16289124460699977
ACCESORIES_1_034,1,Básicos de alto volumen,4.723470987977,0.6411271579046689,6.382769412191583,6.50302810943181e-05,0.2519125913208516
ACCESORIES_1_035,1,Básicos de alto volumen,1.6027182435964453,0.9432848663572867,2.6873013671875,0.0002141548635561044,0.13884375826025933
ACCESORIES_1_036,1,Básicos de alto volumen,5.496602195504443,0.6587281776028122,1.4140586917238889,-0.0002485876071974707,0.09624546325906018
ACCESORIES_1_037,3,Nicho premium,7.317825405122844,0.7346400292004518,17.183678985838284,0.0006667305295072768,0.09743905419923783
