store_code,city,cluster,cluster_name,mean_units,cv_units,avg_price,total_units
BOS_1,BOS,0,Tiendas estables,2924.8782017773133,0.21018447219204917,5.465819333125041,5595292
BOS_2,BOS,0,Tiendas estables,3771.240982749608,0.21024769441338093,5.455684971605411,7214384
BOS_3,BOS,0,Tiendas estables,3183.1312075274436,0.21405854170037833,5.484371496857013,6089330
NYC_1,NYC,0,Tiendas estables,4024.1589127025613,0.24647317048407613,5.516086043883551,7698216
NYC_2,NYC,1,Tiendas volátiles,2972.020386826973,0.3028443645853299,5.576406187220826,5685475
NYC_3,NYC,2,Tienda flagship,5848.499738630423,0.2053059068713787,5.483592673187792,11188180
NYC_4,NYC,0,Tiendas estables,2145.1521170935703,0.19948616852088802,5.522678281155591,4103676
PHI_1,PHI,1,Tiendas volátiles,2691.6163094615786,0.3705037211765322,5.580182485466117,5149062
PHI_2,PHI,1,Tiendas volátiles,3420.811291165708,0.37563043515333366,5.555485997532102,6544012
PHI_3,PHI,0,Tiendas estables,3360.0533193936226,0.24569010446788836,5.520700265359353,6427782
