city,yearweek,week_dt,units_week,avg_price_week,revenue_week_proxy
BOS,201104,2011-01-24,19068,,
BOS,201105,2011-01-31,54119,4.973292479028059,269149.6156725195
BOS,201106,2011-02-07,55400,5.079292156348373,281392.7854616999
BOS,201107,2011-02-14,52847,5.13786922692019,271520.9750350513
BOS,201108,2011-02-21,49872,5.144190735294118,256551.08035058825
BOS,201109,2011-02-28,52666,5.147977451923078,271123.3804829808
BOS,201110,2011-03-07,53254,5.1543648705882354,274490.5468183059
BOS,201111,2011-03-14,53432,5.178159824723247,276679.43575461255
BOS,201112,2011-03-21,48728,5.191842494331065,252988.10106376416
BOS,201113,2011-03-28,50626,5.190404541366906,262769.420311241
BOS,201114,2011-04-04,52751,5.2010984670073315,274363.1452331037
BOS,201115,2011-04-11,53967,5.211285466900483,281237.44279221835
BOS,201116,2011-04-18,49687,5.207227491334488,258731.5123619367
BOS,201117,2011-04-25,46931,5.21146632960413,244579.32631465144
BOS,201118,2011-05-02,49432,5.230799085300999,258568.860384599
BOS,201119,2011-05-09,55118,5.235515509601182,288571.14385819796
BOS,201120,2011-05-16,47930,5.231578581948243,250749.5614327793
BOS,201121,2011-05-23,46479,5.221760234899329,242702.1939578859
BOS,201122,2011-05-30,54054,5.2241360091743125,282385.4478399083
BOS,201123,2011-06-06,59812,5.231174313643927,312886.9980476706
BOS,201124,2011-06-13,56611,5.2337471928734205,296287.6623357572
BOS,201125,2011-06-20,52001,5.232049081148048,272071.7842687797
BOS,201126,2011-06-27,54537,5.237429333058873,285633.68353703176
BOS,201127,2011-07-04,60386,5.237416895632561,316266.6566596678
BOS,201128,2011-07-11,60256,5.236592943342197,315536.1443940274
BOS,201129,2011-07-18,54438,5.2417603458799595,285350.9497090132
BOS,201130,2011-07-25,52703,5.246442816673412,276503.2757671388
BOS,201131,2011-08-01,62690,5.246374818548388,328895.2373747984
BOS,201132,2011-08-08,63790,5.2418728456913835,334379.06882665335
BOS,201133,2011-08-15,65913,5.220297849034057,344085.49212338176
BOS,201134,2011-08-22,56566,5.230888344895936,295890.43011738354
BOS,201135,2011-08-29,55253,5.245105387803434,289807.80799230316
BOS,201136,2011-09-05,62922,5.246160220342317,330098.8933843793
BOS,201137,2011-09-12,63607,5.2498004308656485,333924.05600607133
BOS,201138,2011-09-19,56972,5.251978773125608,299215.73466251214
BOS,201139,2011-09-26,60735,5.260542427768082,319499.04435049446
BOS,201140,2011-10-03,62926,5.266102359767892,331374.7570907544
BOS,201141,2011-10-10,68144,5.260773637589063,358490.1587598691
BOS,201142,2011-10-17,58950,5.252811494914604,309653.2376252159
BOS,201143,2011-10-24,55485,5.271392378399081,292483.206115473
BOS,201144,2011-10-31,61269,5.26778894837476,322752.1610779732
BOS,201145,2011-11-07,61953,5.273742398777693,326724.1628314744
BOS,201146,2011-11-14,58738,5.267590360068584,309407.7225697085
BOS,201147,2011-11-21,55327,5.2687662226451,291505.0288002854
BOS,201148,2011-11-28,55509,5.268358365019012,292441.3044838403
BOS,201149,2011-12-05,60212,5.2680633738601825,317200.6318668693
BOS,201150,2011-12-12,64060,5.266678250142342,337383.40870411845
BOS,201151,2011-12-19,52420,5.273433333333333,276433.37533333333
BOS,201152,2011-12-26,57837,5.262506867924529,304367.609720151
BOS,201201,2012-01-02,65109,5.2613950526711815,342564.17048436793
BOS,201202,2012-01-09,62891,5.257509225299401,330650.01268830465
BOS,201203,2012-01-16,59742,5.263112110468371,314428.8437036014
BOS,201204,2012-01-23,55669,5.256359580393613,292616.281480932
BOS,201205,2012-01-30,67399,5.264092691883952,354794.58334028645
BOS,201206,2012-02-06,66888,5.284775958568054,353488.0943167
BOS,201207,2012-02-13,64255,5.2952749011147064,340247.88877112546
BOS,201208,2012-02-20,60151,5.315105730557039,319708.92479873647
BOS,201209,2012-02-27,65241,5.3399093142453165,348381.02357067866
BOS,201210,2012-03-05,68177,5.3654335202383034,365799.1611092868
BOS,201211,2012-03-12,72949,5.366077171086843,391449.9635536141
BOS,201212,2012-03-19,64707,5.3749492249397175,347796.8394981743
BOS,201213,2012-03-26,64565,5.368984541559554,346648.4869257926
BOS,201214,2012-04-02,75333,5.36098311976764,403858.94136145565
BOS,201215,2012-04-09,71956,5.366025238419619,386117.7120557221
BOS,201216,2012-04-16,63351,5.3636313199864265,339791.4077524601
BOS,201217,2012-04-23,63439,5.3506198384654216,339437.9719324079
BOS,201218,2012-04-30,72805,5.338244570854944,388650.8959810942
BOS,201219,2012-05-07,70070,5.328661210613599,373379.2910276949
BOS,201220,2012-05-14,69618,5.3279948506354184,370924.3455115366
BOS,201221,2012-05-21,67900,5.324213085648529,361514.0685155351
